Vendor Number,UKPRN,Date,Contract Number,Budget Group,Description,Amount (£)
,,,,,,
P0001234,90000000,18/12/2025,xxxxxxx,Profiled adult skills fund for adult skills,Profiled adult skills fund for adult skills Profile Dec 2025,xxxxxxx
P0001234,90000000,18/12/2025,xxxxxxx,Profiled adult skills fund for tailored learning,Profiled adult skills fund for tailored learning Profile Dec 2025,xxxxxxx
P0001234,90000000,18/12/2025,xxxxxxx,Free courses for jobs,Free courses for jobs Profile Dec 2025,xxxxxxx
,,,,,,
P0001234,90000000,18/11/2025,xxxxxxx,Profiled adult skills fund for adult skills,Profiled adult skills fund for adult skills Profile Nov 2025,xxxxxxx
P0001234,90000000,18/11/2025,xxxxxxx,Profiled adult skills fund for tailored learning,Profiled adult skills fund for tailored learning Profile Nov 2025,xxxxxxx
P0001234,90000000,18/11/2025,xxxxxxx,Free courses for jobs,Free courses for jobs Profile Nov 2025,xxxxxxx
,,,,,,
P0001234,90000000,17/10/2025,xxxxxxx,Profiled adult skills fund for adult skills,Profiled adult skills fund for adult skills Profile Oct 2025,xxxxxxx
P0001234,90000000,17/10/2025,xxxxxxx,Profiled adult skills fund for tailored learning,Profiled adult skills fund for tailored learning Profile Oct 2025,xxxxxxx
P0001234,90000000,17/10/2025,xxxxxxx,Free courses for jobs,Free courses for jobs Profile Oct 2025,xxxxxxx
,,,,,,
P0001234,90000000,18/09/2025,xxxxxxx,Profiled adult skills fund for adult skills,Profiled adult skills fund for adult skills Profile Sep 2025,xxxxxxx
P0001234,90000000,18/09/2025,xxxxxxx,Profiled adult skills fund for tailored learning,Profiled adult skills fund for tailored learning Profile Sep 2025,xxxxxxx
P0001234,90000000,18/09/2025,xxxxxxx,Free courses for jobs,Free courses for jobs Profile Sep 2025,xxxxxxx
,,,,,,
P0001234,90000000,18/08/2025,xxxxxxx,Profiled adult skills fund for adult skills,Profiled adult skills fund for adult skills Profile Aug 2025,xxxxxxx
P0001234,90000000,18/08/2025,xxxxxxx,Profiled adult skills fund for tailored learning,Profiled adult skills fund for tailored learning Profile Aug 2025,xxxxxxx
P0001234,90000000,18/08/2025,xxxxxxx,Free courses for jobs,Free courses for jobs Profile Aug 2025,xxxxxxx